Pos,N_meanings,N_Thesaurus,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,TwitterCDPc,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc.,Conc_M,Conc_SD,Percent_known,N_unknown,N_participants,nobs,accuracy,rt_correct_mean,rt_correct_std,rt_zscore_correct_mean,rt_zscore_correct_std,rank_L2,nobs_L1,acc_L1,rank_L1,diff_L1_L2,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_roots,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,root_famsize,level
noun,1,5,0,1,1,0,7010056,814,15.96078431,597,15.6562,554,0.0616,500,16.1404,492,0.0208,1046,29.7021,987,0.0977,4.54,0.84,1,0,28,264,0.965909091,983.7686275,466.2884754,-0.663172161,0.453422466,3470,430,0.993023256,8130,-4660,7,9,2,2,0,1,1,0,3,0,43,59,0
adjective,6,5,1,0,0,1,42552937,882,17.29411765,3069,80.484,2939,0.3268,1240,40.0282,1232,0.0522,1261,35.8072,1242,0.1229,2.22,1.34,1,0,27,238,0.987394958,933.4382979,502.8991499,-0.721706353,0.485999028,1110,431,0.995359629,5032,-3922,6,13,3,2,0,1,1,0,2,0,1431,59,3
adverb,2,1,2,0,0,0,69444655,16406,321.6862745,18109,474.9053,17041,1.8949,11721,378.3629,11644,0.4934,5575,158.3072,5466,0.5411,1.37,0.89,1,0,30,217,0.99078341,944.1255814,454.9795908,-0.70337172,0.490002648,811,442,0.995475113,4810,-3999,8,14,4,3,0,1,2,0,3,0,3917,59,1
adjective,7,2,3,0,0,2,11128841,150,2.941176471,175,4.5893,170,0.0189,32,1.033,32,0.0014,184,5.2248,176,0.0174,1.92,1.12,1,0,25,272,0.761029412,1135.971014,622.8760408,-0.442609155,0.620993337,21055,399,0.994987469,6320,14735,5,9,2,1,0,1,0,0,0,0,0,3,4
verb,2,4,2,2,2,0,4675567,134,2.62745098,347,9.1,331,0.0368,160,5.1649,156,0.0066,264,7.4965,257,0.0254,2.41,1.32,1,0,29,289,0.92733564,942.4850746,392.5901454,-0.642283421,0.471438987,7054,391,1,420,6634,5,8,2,1,0,1,0,0,0,0,0,7,3
noun,3,4,2,3,3,0,5314230,81,1.588235294,306,8.0248,288,0.032,92,2.9698,91,0.0039,275,7.8089,272,0.0269,2.04,0.96,1,0,28,232,0.956896552,1164.202703,752.9633279,-0.477262108,0.582387718,4345,425,0.997647059,2039,2306,10,14,4,2,0,1,1,0,3,0,1599,7,4
verb,7,7,4,6,4,2,387231739,1681,32.96078431,12453,326.5777,10154,1.1291,4537,146.4579,4371,0.1852,5868,166.6272,5114,0.5062,3,1.51,1,0,30,219,0.99543379,892.9220183,412.7497745,-0.751306632,0.520741772,354,414,1,142,212,3,5,1,1,0,1,0,0,0,0,0,5,0
noun,3,6,1,3,1,0,9331004,199,3.901960784,596,15.63,530,0.0589,531,17.1411,518,0.0219,452,12.8349,424,0.042,2.85,1.41,1,0,26,272,0.981617647,988.4868914,577.5769997,-0.631172017,0.546439612,1734,388,0.99742268,3743,-2009,9,10,3,2,0,1,1,0,3,0,1599,3,3
noun,6,5,4,6,3,1,73434482,148,2.901960784,3002,78.7269,2937,0.3266,527,17.012,527,0.0223,4139,117.5307,4111,0.4069,2.89,1.37,1,0,27,275,0.974545455,1005.190299,499.4098513,-0.598242617,0.531538246,2551,374,0.994652406,7396,-4845,8,9,3,2,0,1,1,0,3,0,1599,5,2
adjective,1,2,1,0,0,0,132187702,300,5.882352941,1825,47.8603,1764,0.1962,322,10.3944,320,0.0136,4059,115.259,3942,0.3902,2.43,1.19,1,0,30,261,0.977011494,1070.537255,733.7286058,-0.605838546,0.543226886,2265,376,1,875,1390,10,12,4,3,0,1,2,0,5,0,3030,5,3
adjective,3,7,1,0,0,1,15023940,134,2.62745098,338,8.864,327,0.0364,68,2.1951,68,0.0029,488,13.8572,481,0.0476,1.97,1.09,1,0,29,245,0.885714286,1150.603687,598.3259204,-0.455885264,0.653984154,10683,446,0.99103139,10503,180,8,10,3,2,0,1,1,0,3,0,937,6,3
adverb,1,1,0,0,0,1,4425890,27,0.529411765,162,4.2484,158,0.0176,22,0.7102,22,0.0009,208,5.9063,207,0.0205,1.72,0.92,1,0,29,253,0.81027668,1229.341463,823.4327779,-0.416143786,0.625662823,17113,397,0.992443325,9336,7777,10,12,4,3,0,1,2,0,5,0,3835,6,3
verb,6,7,4,6,2,0,2655276,29,0.568627451,271,7.1069,233,0.0259,15,0.4842,15,0.0006,116,3.2939,115,0.0114,2.62,1.4,1,0,29,287,0.707317073,1147.694581,762.3076452,-0.404814416,0.68610835,25120,390,0.98974359,11847,13273,6,9,2,2,1,1,0,2,0,4,0,16,4
adjective,3,3,2,0,0,0,9869232,37,0.725490196,206,5.4023,201,0.0224,34,1.0975,34,0.0014,506,14.3683,502,0.0497,3.63,1.36,1,0,27,274,0.766423358,1093.514286,649.6293402,-0.470419661,0.579679597,20600,371,0.997304582,4334,16266,8,14,3,1,0,1,0,0,0,0,0,1,4
