words,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_roots,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,root_famsize,lowest_level
if,2,5,#N/A,1,0,1,0,0,0,0,0,1,a1
imagine,7,11,3,1,0,1,0,0,0,0,0,8,a1
important,9,12,3,2,0,1,1,0,3,0,464,4,a1
improve,7,10,2,1,0,1,0,0,0,0,0,3,a1
in,2,5,#N/A,1,0,1,0,0,0,0,0,15,a1
include,7,10,2,2,1,1,0,2,0,358,0,19,a1
information,11,15,4,2,0,1,1,0,3,0,1599,10,a1
interest,8,10,3,1,0,1,0,0,0,0,0,7,a1
interested,10,12,4,1,0,1,0,0,0,0,0,7,a1
interesting,11,12,4,1,0,1,0,0,0,0,0,7,a1
interview,9,12,3,1,0,1,0,0,0,0,0,3,a1
into,4,7,2,2,1,1,0,2,0,358,0,10,a1
introduce,9,14,3,2,1,1,0,5,0,13,0,67,a1
island,6,10,2,1,0,1,0,0,0,0,0,2,a1
it,2,5,#N/A,1,0,1,0,0,0,0,0,7,a1
its,3,6,1,1,0,1,0,0,0,0,0,1,a1
jacket,6,10,2,1,0,1,0,0,0,0,0,3,a1
january,7,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
jeans,5,10,1,1,0,1,0,0,0,0,0,1,a1
job,3,#N/A,#N/A,1,0,1,0,0,0,0,0,5,a1
join,4,10,1,1,0,1,0,0,0,0,0,15,a1
journey,7,10,2,1,0,1,0,0,0,0,0,3,a1
juice,5,9,1,1,0,1,0,0,0,0,0,5,a1
july,4,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
june,4,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
just,4,9,1,1,0,1,0,0,0,0,0,22,a1
keep,4,7,1,1,0,1,0,0,0,0,0,20,a1
key,3,6,1,1,0,1,0,0,0,0,0,12,a1
kilometre,9,13,#N/A,2,1,1,0,4,0,8,0,5,a1
kind,4,9,1,1,0,1,0,0,0,0,0,16,a1
kitchen,7,10,2,1,0,1,0,0,0,0,0,2,a1
know,4,7,1,1,0,1,0,0,0,0,0,20,a1
land,4,7,1,1,0,1,0,0,0,0,0,59,a1
language,8,12,2,1,0,1,0,0,0,0,0,1,a1
large,5,9,1,1,0,1,0,0,0,0,0,7,a1
last,4,8,1,1,0,1,0,0,0,0,0,5,a1
late,4,8,1,1,0,1,0,0,0,0,0,8,a1
later,5,9,2,2,0,1,1,0,2,0,2274,8,a1
laugh,5,7,1,1,0,1,0,0,0,0,0,6,a1
learn,5,7,1,1,0,1,0,0,0,0,0,7,a1
leave,5,7,1,1,0,1,0,0,0,0,0,4,a1
left,4,7,1,1,0,1,0,0,0,0,0,5,a1
leg,3,6,1,1,0,1,0,0,0,0,0,17,a1
lesson,6,8,2,1,0,1,0,0,0,0,0,1,a1
let,3,6,1,1,0,1,0,0,0,0,0,8,a1
letter,6,7,2,1,0,1,0,0,0,0,0,8,a1
library,7,12,3,1,0,1,0,0,0,0,0,3,a1
lie,3,7,1,1,0,1,0,0,0,0,0,6,a1
life,4,8,1,1,0,1,0,0,0,0,0,17,a1
light,5,8,1,1,0,1,0,0,0,0,0,45,a1
like,4,8,1,1,0,1,0,0,0,0,0,74,a1
line,4,8,1,1,0,1,0,0,0,0,0,64,a1
lion,4,10,2,1,0,1,0,0,0,0,0,4,a1
list,4,7,1,1,0,1,0,0,0,0,0,10,a1
listen,6,8,2,1,0,1,0,0,0,0,0,2,a1
little,6,9,2,1,0,1,0,0,0,0,0,6,a1
live,4,#N/A,#N/A,1,0,1,0,0,0,0,0,14,a1
local,5,11,2,2,0,1,1,0,2,0,1431,25,a1
long,4,6,1,1,0,1,0,0,0,0,0,39,a1
look,4,6,1,1,0,1,0,0,0,0,0,7,a1
lose,4,7,1,1,0,1,0,0,0,0,0,2,a1
lot,3,6,1,1,0,1,0,0,0,0,0,1,a1
love,4,6,1,1,0,1,0,0,0,0,0,20,a1
lunch,5,9,1,1,0,1,0,0,0,0,0,3,a1
machine,7,9,2,1,0,1,0,0,0,0,0,8,a1
magazine,8,12,3,1,0,1,0,0,0,0,0,1,a1
